"time","cause"
15.789,2
19.344,2
4.959,2
1.952,1
33.213,2
1.672,2
0.235,0
21.819,1
25.831,1
1.146,2
11.543,1
7.147,1
31.538,1
26.125,2
6.961,0
1.465,0
12.84,2
2.142,0
18.953,1
4.583,1
2.917,1
7.919,1
32.72,2
1.986,2
62.288,1
12.384,1
42.222,1
21.896,1
8.438,0
0.364,1
88.012,0
8.76,1
0.753,0
5.012,2
12.398,2
6.46,2
6.177,0
14.994,1
2.626,2
2.951,2
34.377,1
12.785,1
17.122,1
10.519,2
6.627,1
48.046,2
9.371,1
1.974,2
17.461,1
7.456,1
18.319,2
4.795,1
12.414,1
3.067,2
10.719,2
23.098,2
1.314,2
12.123,1
15.087,2
10.542,1
9.764,1
1.773,2
40.154,1
22.588,2
5.631,0
9.296,2
18.152,1
6.138,2
16.164,1
10.339,1
10.084,2
38.971,0
28.593,1
11.07,2
15.758,2
11.305,1
13.481,2
5.264,1
23.952,2
11.972,2
14.896,2
15.106,2
1.63,1
21.148,1
4.755,0
13.836,1
5.797,1
10.847,0
4.951,2
4.091,1
10.86,2
4.337,0
11.407,2
6.877,2
4.711,2
8.217,2
18.674,0
2.878,2
7.416,1
8.789,1
3.996,2
3.885,0
10.383,2
9.242,2
70.759,2
4.159,2
4.679,2
0.404,2
11.479,1
10.981,1
10.346,2
9.015,2
1.48,2
1.52,2
13.87,2
8.832,1
8.835,0
40.384,2
4.948,2
36.904,2
4.984,1
5.089,2
7.475,2
4.774,2
3.825,2
10.651,1
2.127,0
19.295,2
2.082,1
6.118,1
10.478,2
0.303,2
0.795,2
8.579,2
16.284,1
3.065,2
10.127,1
18.43,0
1.716,2
11.039,2
14.678,1
24.318,2
9.758,2
1.963,2
4.671,1
4.955,1
17.827,1
4.496,0
8.084,1
1.028,2
11.525,2
7.339,0
5.508,2
13.126,1
1.429,1
17.815,2
8.451,1
6.574,1
16.83,2
31.874,1
30.414,0
1.585,0
2.301,2
9.245,1
8.32,0
0.189,2
10.543,2
0.094,0
4.098,2
10.815,2
8.67,2
0.305,0
4.797,2
9.774,1
13.428,2
6.382,1
26.813,1
7.891,2
7.528,0
4.975,1
2.947,2
5.992,2
12.783,2
4.708,1
7.229,1
4.026,2
3.562,2
6.424,2
3.804,0
8.354,1
15.996,2
4.506,2
21.805,2
16.561,0
2.069,1
8.655,2
13.154,2
15.875,1
11.026,2
6.647,0
